"plate","true_rep","isolate","time","value","Blank_Replicate"
"Plate 1","Fucus 1","5",10,0.109666666666667,0.148666666666667
"Plate 1","Fucus 1","5",12,0.142,0.159666666666667
"Plate 1","Fucus 1","5",14,0.154,0.152
"Plate 1","Fucus 1","5",16,0.182,0.141666666666667
"Plate 1","Fucus 1","6",2,-0.000333333333333352,0.161
"Plate 1","Fucus 1","6",4,0.00800000000000001,0.183666666666667
"Plate 1","Fucus 1","6",6,0.0453333333333333,0.148666666666667
"Plate 1","Fucus 1","6",8,0.086,0.143666666666667
"Plate 1","Fucus 1","6",10,0.102666666666667,0.148666666666667
"Plate 1","Fucus 1","6",12,0.142666666666667,0.159666666666667
"Plate 1","Fucus 1","6",14,0.159666666666667,0.152
"Plate 1","Fucus 1","6",16,0.162333333333333,0.141666666666667
"Plate 1","Fucus 1","7",2,-0.013,0.161
"Plate 1","Fucus 1","7",4,-0.019,0.183666666666667
"Plate 1","Fucus 1","7",6,0.00333333333333333,0.148666666666667
"Plate 1","Fucus 1","7",8,0.0203333333333333,0.143666666666667
"Plate 1","Fucus 1","7",10,0.0176666666666667,0.148666666666667
"Plate 1","Fucus 1","7",12,0.064,0.159666666666667
"Plate 1","Fucus 1","7",14,0.062,0.152
"Plate 1","Fucus 1","7",16,0.083,0.141666666666667
"Plate 1","Fucus 1","8",2,-0.00866666666666668,0.161
"Plate 1","Fucus 1","8",4,-0.00600000000000001,0.183666666666667
"Plate 1","Fucus 1","8",6,0.0153333333333333,0.148666666666667
"Plate 1","Fucus 1","8",8,-0.002,0.143666666666667
"Plate 1","Fucus 1","8",10,0.00366666666666665,0.148666666666667
"Plate 1","Fucus 1","8",12,0.014,0.159666666666667
"Plate 1","Fucus 1","8",14,0.048,0.152
"Plate 1","Fucus 1","8",16,0.0586666666666667,0.141666666666667
"Plate 1","Fucus 1","9",2,0.0163333333333333,0.161
"Plate 1","Fucus 1","9",4,-0.00666666666666668,0.183666666666667
"Plate 1","Fucus 1","9",6,0.0183333333333333,0.148666666666667
"Plate 1","Fucus 1","9",8,0.049,0.143666666666667
"Plate 1","Fucus 1","9",10,0.0793333333333333,0.148666666666667
"Plate 1","Fucus 1","9",12,0.118666666666667,0.159666666666667
"Plate 1","Fucus 1","9",14,0.134,0.152
"Plate 1","Fucus 1","9",16,0.151666666666667,0.141666666666667
"Plate 2","Fucus 1","16",2,0.025,0.141333333333333
"Plate 2","Fucus 1","16",4,0.036,0.152333333333333
"Plate 2","Fucus 1","16",6,0.0483333333333333,0.140333333333333
"Plate 2","Fucus 1","16",8,0.0746666666666667,0.126666666666667
"Plate 2","Fucus 1","16",10,0.0856666666666667,0.147333333333333
"Plate 2","Fucus 1","16",12,0.132666666666667,0.133
"Plate 2","Fucus 1","16",14,0.131,0.128333333333333
"Plate 2","Fucus 1","16",16,0.139666666666667,0.136
"Plate 2","Fucus 1","17",2,0.011,0.141333333333333
"Plate 2","Fucus 1","17",4,0.0223333333333333,0.152333333333333
"Plate 2","Fucus 1","17",6,0.0146666666666667,0.140333333333333
"Plate 2","Fucus 1","17",8,0.0416666666666667,0.126666666666667
"Plate 2","Fucus 1","17",10,0.031,0.147333333333333
"Plate 2","Fucus 1","17",12,0.0703333333333333,0.133
"Plate 2","Fucus 1","17",14,0.0956666666666667,0.128333333333333
"Plate 2","Fucus 1","17",16,0.118,0.136
"Plate 2","Fucus 1","18",2,0.0216666666666667,0.141333333333333
"Plate 2","Fucus 1","18",4,0.0186666666666667,0.152333333333333
"Plate 2","Fucus 1","18",6,0.0513333333333333,0.140333333333333
"Plate 2","Fucus 1","18",8,0.051,0.126666666666667
"Plate 2","Fucus 1","18",10,0.112,0.147333333333333
"Plate 2","Fucus 1","18",12,0.167666666666667,0.133
"Plate 2","Fucus 1","18",14,0.204666666666667,0.128333333333333
"Plate 2","Fucus 1","18",16,0.181666666666667,0.136
"Plate 2","Fucus 1","19",2,0.0226666666666667,0.141333333333333
"Plate 2","Fucus 1","19",4,0.0176666666666667,0.152333333333333
"Plate 2","Fucus 1","19",6,0.045,0.140333333333333
"Plate 2","Fucus 1","19",8,0.084,0.126666666666667
"Plate 2","Fucus 1","19",10,0.117,0.147333333333333
"Plate 2","Fucus 1","19",12,0.141666666666667,0.133
"Plate 2","Fucus 1","19",14,0.147333333333333,0.128333333333333
"Plate 2","Fucus 1","19",16,0.144,0.136
"Plate 2","Fucus 1","20",2,0.0373333333333333,0.141333333333333
"Plate 2","Fucus 1","20",4,0.04,0.152333333333333
"Plate 2","Fucus 1","20",6,0.049,0.140333333333333
"Plate 2","Fucus 1","20",8,0.0623333333333333,0.126666666666667
"Plate 2","Fucus 1","20",10,0.0576666666666666,0.147333333333333
"Plate 2","Fucus 1","20",12,0.0796666666666667,0.133
"Plate 2","Fucus 1","20",14,0.0953333333333334,0.128333333333333
"Plate 2","Fucus 1","20",16,0.103333333333333,0.136
"Plate 2","Fucus 1","21",2,0.0103333333333333,0.141333333333333
"Plate 2","Fucus 1","21",4,0.00533333333333336,0.152333333333333
"Plate 2","Fucus 1","21",6,0.0143333333333333,0.140333333333333
"Plate 2","Fucus 1","21",8,0.035,0.126666666666667
"Plate 2","Fucus 1","21",10,0.0506666666666667,0.147333333333333
"Plate 2","Fucus 1","21",12,0.108333333333333,0.133
"Plate 2","Fucus 1","21",14,0.088,0.128333333333333
"Plate 2","Fucus 1","21",16,0.105666666666667,0.136
"Plate 2","Fucus 1","22",2,0.0111666666666667,0.141333333333333
"Plate 2","Fucus 1","22",4,0.0171666666666667,0.152333333333333
"Plate 2","Fucus 1","22",6,0.0116666666666667,0.140333333333333
"Plate 2","Fucus 1","22",8,0.0136666666666667,0.126666666666667
"Plate 2","Fucus 1","22",10,0.0176666666666667,0.147333333333333
"Plate 2","Fucus 1","22",12,0.108,0.133
"Plate 2","Fucus 1","22",14,0.0713333333333333,0.128333333333333
"Plate 2","Fucus 1","22",16,0.104333333333333,0.136
"Plate 2","Fucus 1","23",2,0.0136666666666667,0.141333333333333
"Plate 2","Fucus 1","23",4,0.0286666666666667,0.152333333333333
"Plate 2","Fucus 1","23",6,0.0233333333333333,0.140333333333333
"Plate 2","Fucus 1","23",8,0.0283333333333333,0.126666666666667
"Plate 2","Fucus 1","23",10,0.0533333333333333,0.147333333333333
"Plate 2","Fucus 1","23",12,0.0586666666666667,0.133
"Plate 2","Fucus 1","23",14,0.103333333333333,0.128333333333333
"Plate 2","Fucus 1","23",16,0.122333333333333,0.136
"Plate 2","Fucus 1","24",2,0.035,0.141333333333333
"Plate 2","Fucus 1","24",4,0.044,0.152333333333333
"Plate 2","Fucus 1","24",6,0.036,0.140333333333333
"Plate 2","Fucus 1","24",8,0.0843333333333333,0.126666666666667
"Plate 2","Fucus 1","24",10,0.13,0.147333333333333
"Plate 2","Fucus 1","24",12,0.203,0.133
"Plate 2","Fucus 1","24",14,0.175333333333333,0.128333333333333
"Plate 2","Fucus 1","24",16,0.163666666666667,0.136
"Plate 2","Fucus 2","1",2,0.027,0.243666666666667
"Plate 2","Fucus 2","1",4,0.028,0.258
"Plate 2","Fucus 2","1",6,-0.005,0.229
"Plate 2","Fucus 2","1",8,0.0103333333333334,0.222666666666667
"Plate 2","Fucus 2","1",10,-0.053,0.29
"Plate 2","Fucus 2","1",12,0.0306666666666667,0.239333333333333
"Plate 2","Fucus 2","1",14,0.0633333333333334,0.220333333333333
"Plate 2","Fucus 2","1",16,0.023,0.225333333333333
"Plate 2","Fucus 2","2",2,0.0106666666666667,0.243666666666667
"Plate 2","Fucus 2","2",4,0.014,0.258
"Plate 2","Fucus 2","2",6,0.0223333333333333,0.229
"Plate 2","Fucus 2","2",8,0.0206666666666667,0.222666666666667
"Plate 2","Fucus 2","2",10,-0.0316666666666666,0.29
"Plate 2","Fucus 2","2",12,0.0326666666666667,0.239333333333333
"Plate 2","Fucus 2","2",14,0.056,0.220333333333333
"Plate 2","Fucus 2","2",16,0.0553333333333333,0.225333333333333
"Plate 2","Fucus 2","3",2,-0.0236666666666667,0.243666666666667
"Plate 2","Fucus 2","3",4,-0.015,0.258
"Plate 2","Fucus 2","3",6,0.0113333333333333,0.229
"Plate 2","Fucus 2","3",8,-0.000666666666666649,0.222666666666667
"Plate 2","Fucus 2","3",10,-0.0186666666666667,0.29
"Plate 2","Fucus 2","3",12,0.013,0.239333333333333
"Plate 2","Fucus 2","3",14,0.026,0.220333333333333
"Plate 2","Fucus 2","3",16,0.0243333333333333,0.225333333333333
"Plate 2","Fucus 2","4",2,-0.00933333333333333,0.243666666666667
"Plate 2","Fucus 2","4",4,0.054,0.258
"Plate 2","Fucus 2","4",6,-0.014,0.229
"Plate 2","Fucus 2","4",8,0.00433333333333336,0.222666666666667
"Plate 2","Fucus 2","4",10,-0.0396666666666666,0.29
"Plate 2","Fucus 2","4",12,0.001,0.239333333333333
"Plate 2","Fucus 2","4",14,0.0783333333333333,0.220333333333333
"Plate 2","Fucus 2","4",16,0.098,0.225333333333333
"Plate 2","Fucus 2","5",2,-0.0163333333333333,0.243666666666667
"Plate 2","Fucus 2","5",4,0.003,0.258
"Plate 2","Fucus 2","5",6,-0.024,0.229
"Plate 2","Fucus 2","5",8,-0.00399999999999998,0.222666666666667
"Plate 2","Fucus 2","5",10,-0.0586666666666666,0.29
"Plate 2","Fucus 2","5",12,-0.01,0.239333333333333
"Plate 2","Fucus 2","5",14,0.0123333333333333,0.220333333333333
"Plate 2","Fucus 2","5",16,-0.00433333333333333,0.225333333333333
"Plate 3","Fucus 2","10",2,-0.0386666666666667,0.266
"Plate 3","Fucus 2","10",4,-0.018,0.281666666666667
"Plate 3","Fucus 2","10",6,-0.0326666666666666,0.257666666666667
"Plate 3","Fucus 2","10",8,0.0136666666666667,0.247
"Plate 3","Fucus 2","10",10,0.015,0.243333333333333
"Plate 3","Fucus 2","10",12,-0.063,0.304666666666667
"Plate 3","Fucus 2","10",14,-0.0193333333333333,0.257
"Plate 3","Fucus 2","10",16,-0.00900000000000001,0.252
"Plate 3","Fucus 2","11",2,-0.0286666666666667,0.266
"Plate 3","Fucus 2","11",4,-0.00766666666666665,0.281666666666667
"Plate 3","Fucus 2","11",6,-0.022,0.257666666666667
"Plate 3","Fucus 2","11",8,0.0156666666666667,0.247
"Plate 3","Fucus 2","11",10,0.00966666666666668,0.243333333333333
"Plate 3","Fucus 2","11",12,-0.04,0.304666666666667
"Plate 3","Fucus 2","11",14,-0.00900000000000001,0.257
"Plate 3","Fucus 2","11",16,-0.015,0.252
"Plate 3","Fucus 2","12",2,-0.019,0.266
"Plate 3","Fucus 2","12",4,0.001,0.281666666666667
"Plate 3","Fucus 2","12",6,0.017,0.257666666666667
"Plate 3","Fucus 2","12",8,0.013,0.247
"Plate 3","Fucus 2","12",10,0.0316666666666667,0.243333333333333
"Plate 3","Fucus 2","12",12,-0.000666666666666649,0.304666666666667
"Plate 3","Fucus 2","12",14,0.0136666666666667,0.257
"Plate 3","Fucus 2","12",16,0.0353333333333333,0.252
"Plate 3","Fucus 2","13",2,-0.01,0.266
"Plate 3","Fucus 2","13",4,0.0118333333333333,0.281666666666667
"Plate 3","Fucus 2","13",6,0.013,0.257666666666667
"Plate 3","Fucus 2","13",8,0.024,0.247
"Plate 3","Fucus 2","13",10,0.0106666666666667,0.243333333333333
"Plate 3","Fucus 2","13",12,-0.065,0.304666666666667
"Plate 3","Fucus 2","13",14,0.0886666666666667,0.257
"Plate 3","Fucus 2","13",16,0.048,0.252
"Plate 3","Fucus 2","14",2,-0.0336666666666667,0.266
"Plate 3","Fucus 2","14",4,-0.0456666666666667,0.281666666666667
"Plate 3","Fucus 2","14",6,-0.0606666666666666,0.257666666666667
"Plate 3","Fucus 2","14",8,-0.0296666666666667,0.247
"Plate 3","Fucus 2","14",10,-0.021,0.243333333333333
"Plate 3","Fucus 2","14",12,-0.0326666666666666,0.304666666666667
"Plate 3","Fucus 2","14",14,-0.016,0.257
"Plate 3","Fucus 2","14",16,-0.013,0.252
"Plate 3","Fucus 2","15",2,-0.0343333333333333,0.266
"Plate 3","Fucus 2","15",4,-0.041,0.281666666666667
"Plate 3","Fucus 2","15",6,-0.0436666666666667,0.257666666666667
"Plate 3","Fucus 2","15",8,-0.00800000000000001,0.247
"Plate 3","Fucus 2","15",10,-0.019,0.243333333333333
"Plate 3","Fucus 2","15",12,-0.0503333333333333,0.304666666666667
"Plate 3","Fucus 2","15",14,-0.0363333333333333,0.257
"Plate 3","Fucus 2","15",16,-0.0246666666666667,0.252
"Plate 3","Fucus 2","16",2,-0.0156666666666667,0.266
"Plate 3","Fucus 2","16",4,-0.0173333333333334,0.281666666666667
"Plate 3","Fucus 2","16",6,-0.00466666666666665,0.257666666666667
"Plate 3","Fucus 2","16",8,0.0183333333333333,0.247
"Plate 3","Fucus 2","16",10,0.028,0.243333333333333
"Plate 3","Fucus 2","16",12,-0.02,0.304666666666667
"Plate 3","Fucus 2","16",14,0.013,0.257
"Plate 3","Fucus 2","16",16,-0.00266666666666668,0.252
"Plate 3","Fucus 2","17",2,0.0123333333333333,0.266
"Plate 3","Fucus 2","17",4,0.0153333333333333,0.281666666666667
"Plate 3","Fucus 2","17",6,0.0316666666666667,0.257666666666667
"Plate 3","Fucus 2","17",8,0.042,0.247
"Plate 3","Fucus 2","17",10,-0.000999999999999973,0.243333333333333
"Plate 3","Fucus 2","17",12,-0.0116666666666667,0.304666666666667
"Plate 3","Fucus 2","17",14,0.0256666666666667,0.257
"Plate 3","Fucus 2","17",16,0.0133333333333333,0.252
"Plate 3","Fucus 2","18",2,-0.0266666666666667,0.266
"Plate 3","Fucus 2","18",4,-0.0253333333333333,0.281666666666667
"Plate 3","Fucus 2","18",6,-0.032,0.257666666666667
"Plate 3","Fucus 2","18",8,0.0146666666666667,0.247
"Plate 3","Fucus 2","18",10,0.0173333333333334,0.243333333333333
"Plate 3","Fucus 2","18",12,-0.0456666666666666,0.304666666666667
"Plate 3","Fucus 2","18",14,0.0043333333333333,0.257
"Plate 3","Fucus 2","18",16,0.00366666666666665,0.252
"Plate 3","Fucus 2","19",2,-0.0376666666666667,0.266
"Plate 3","Fucus 2","19",4,-0.0483333333333333,0.281666666666667
"Plate 3","Fucus 2","19",6,-0.0406666666666667,0.257666666666667
"Plate 3","Fucus 2","19",8,-0.0223333333333333,0.247
"Plate 3","Fucus 2","19",10,-0.0183333333333333,0.243333333333333
"Plate 3","Fucus 2","19",12,-0.0543333333333333,0.304666666666667
"Plate 3","Fucus 2","19",14,-0.0116666666666667,0.257
"Plate 3","Fucus 2","19",16,0.0243333333333333,0.252
"Plate 3","Fucus 2","20",2,-0.0183333333333333,0.266
"Plate 3","Fucus 2","20",4,-0.0153333333333334,0.281666666666667
"Plate 3","Fucus 2","20",6,-0.013,0.257666666666667
"Plate 3","Fucus 2","20",8,0.00466666666666665,0.247
"Plate 3","Fucus 2","20",10,-0.0133333333333333,0.243333333333333
"Plate 3","Fucus 2","20",12,-0.0616666666666666,0.304666666666667
"Plate 3","Fucus 2","20",14,-0.0276666666666667,0.257
"Plate 3","Fucus 2","20",16,-0.0173333333333333,0.252
"Plate 3","Fucus 2","6",2,-0.00633333333333336,0.266
"Plate 3","Fucus 2","6",4,0.0196666666666667,0.281666666666667
"Plate 3","Fucus 2","6",6,0.012,0.257666666666667
"Plate 3","Fucus 2","6",8,0.058,0.247
"Plate 3","Fucus 2","6",10,0.0556666666666667,0.243333333333333
"Plate 3","Fucus 2","6",12,0.026,0.304666666666667
"Plate 3","Fucus 2","6",14,0.078,0.257
"Plate 3","Fucus 2","6",16,0.0496666666666666,0.252
"Plate 3","Fucus 2","7",2,-0.0223333333333333,0.266
"Plate 3","Fucus 2","7",4,-0.0246666666666667,0.281666666666667
"Plate 3","Fucus 2","7",6,-0.0233333333333333,0.257666666666667
"Plate 3","Fucus 2","7",8,0.013,0.247
"Plate 3","Fucus 2","7",10,0.00800000000000003,0.243333333333333
"Plate 3","Fucus 2","7",12,-0.058,0.304666666666667
"Plate 3","Fucus 2","7",14,0.00366666666666665,0.257
"Plate 3","Fucus 2","7",16,0.0133333333333334,0.252
"Plate 3","Fucus 2","8",2,-0.00533333333333336,0.266
"Plate 3","Fucus 2","8",4,0.052,0.281666666666667
"Plate 3","Fucus 2","8",6,0.0366666666666667,0.257666666666667
"Plate 3","Fucus 2","8",8,0.0845,0.247
"Plate 3","Fucus 2","8",10,0.0626666666666667,0.243333333333333
"Plate 3","Fucus 2","8",12,0.0863333333333334,0.304666666666667
"Plate 3","Fucus 2","8",14,0.116666666666667,0.257
"Plate 3","Fucus 2","8",16,0.0916666666666667,0.252
"Plate 3","Fucus 2","9",2,-0.00733333333333336,0.266
"Plate 3","Fucus 2","9",4,NA,0.281666666666667
"Plate 3","Fucus 2","9",6,0.0168333333333334,0.257666666666667
"Plate 3","Fucus 2","9",8,0.052,0.247
"Plate 3","Fucus 2","9",10,0.011,0.243333333333333
"Plate 3","Fucus 2","9",12,0.0133333333333333,0.304666666666667
"Plate 3","Fucus 2","9",14,0.105333333333333,0.257
"Plate 3","Fucus 2","9",16,0.0923333333333333,0.252
"Plate 4","Fucus 2","21",2,0.024,0.282333333333333
"Plate 4","Fucus 2","21",4,NA,0.303333333333333
"Plate 4","Fucus 2","21",6,0.0306666666666667,0.237666666666667
"Plate 4","Fucus 2","21",8,0.0171666666666667,0.253333333333333
"Plate 4","Fucus 2","21",10,0.085,0.198
"Plate 4","Fucus 2","21",12,0.0663333333333333,0.214
"Plate 4","Fucus 2","21",14,0.0856666666666666,0.195666666666667
"Plate 4","Fucus 2","21",16,0.107333333333333,0.194
"Plate 4","Fucus 2","22",2,-0.00266666666666665,0.282333333333333
"Plate 4","Fucus 2","22",4,NA,0.303333333333333
"Plate 4","Fucus 2","22",6,0.023,0.237666666666667
"Plate 4","Fucus 2","22",8,0.0243333333333333,0.253333333333333
"Plate 4","Fucus 2","22",10,0.0573333333333333,0.198
"Plate 4","Fucus 2","22",12,0.0653333333333333,0.214
"Plate 4","Fucus 2","22",14,0.0876666666666666,0.195666666666667
"Plate 4","Fucus 2","22",16,0.07,0.194
"Plate 4","Fucus 2","23",2,0.0213333333333333,0.282333333333333
"Plate 4","Fucus 2","23",4,0.0436666666666666,0.303333333333333
"Plate 4","Fucus 2","23",6,0.076,0.237666666666667
"Plate 4","Fucus 2","23",8,0.0566666666666666,0.253333333333333
"Plate 4","Fucus 2","23",10,0.0513333333333333,0.198
"Plate 4","Fucus 2","23",12,0.0596666666666667,0.214
"Plate 4","Fucus 2","23",14,0.0493333333333333,0.195666666666667
"Plate 4","Fucus 2","23",16,0.0836666666666667,0.194
"Plate 4","Fucus 2","24",2,0.0326666666666667,0.282333333333333
"Plate 4","Fucus 2","24",4,NA,0.303333333333333
"Plate 4","Fucus 2","24",6,0.00983333333333333,0.237666666666667
"Plate 4","Fucus 2","24",8,-0.00933333333333336,0.253333333333333
"Plate 4","Fucus 2","24",10,0.0565,0.198
"Plate 4","Fucus 2","24",12,0.0986666666666667,0.214
"Plate 4","Fucus 2","24",14,0.071,0.195666666666667
"Plate 4","Fucus 2","24",16,0.071,0.194
"Plate 4","Fucus 3","1",2,0.0183333333333333,0.163666666666667
"Plate 4","Fucus 3","1",4,0.065,0.171
"Plate 4","Fucus 3","1",6,0.0778333333333333,0.146666666666667
"Plate 4","Fucus 3","1",8,0.0955,0.149
"Plate 4","Fucus 3","1",10,0.107,0.146
"Plate 4","Fucus 3","1",12,0.119333333333333,0.146666666666667
"Plate 4","Fucus 3","1",14,0.141333333333333,0.134666666666667
"Plate 4","Fucus 3","1",16,0.122,0.140333333333333
"Plate 4","Fucus 3","10",2,-0.00533333333333333,0.163666666666667
"Plate 4","Fucus 3","10",4,-0.0000000000000000277555756156289,0.171
"Plate 4","Fucus 3","10",6,0.005,0.146666666666667
"Plate 4","Fucus 3","10",8,0.0136666666666667,0.149
"Plate 4","Fucus 3","10",10,0.0213333333333333,0.146
"Plate 4","Fucus 3","10",12,0.0506666666666667,0.146666666666667
"Plate 4","Fucus 3","10",14,0.0663333333333333,0.134666666666667
"Plate 4","Fucus 3","10",16,0.0426666666666667,0.140333333333333
"Plate 4","Fucus 3","2",2,-0.00399999999999998,0.163666666666667
"Plate 4","Fucus 3","2",4,NA,0.171
"Plate 4","Fucus 3","2",6,0.064,0.146666666666667
"Plate 4","Fucus 3","2",8,0.102333333333333,0.149
"Plate 4","Fucus 3","2",10,0.0633333333333334,0.146
"Plate 4","Fucus 3","2",12,0.0573333333333333,0.146666666666667
"Plate 4","Fucus 3","2",14,0.066,0.134666666666667
"Plate 4","Fucus 3","2",16,0.0553333333333333,0.140333333333333
"Plate 4","Fucus 3","3",2,-0.0126666666666667,0.163666666666667
"Plate 4","Fucus 3","3",4,NA,0.171
"Plate 4","Fucus 3","3",6,0.047,0.146666666666667
"Plate 4","Fucus 3","3",8,0.0666666666666667,0.149
"Plate 4","Fucus 3","3",10,0.061,0.146
"Plate 4","Fucus 3","3",12,0.05,0.146666666666667
"Plate 4","Fucus 3","3",14,0.051,0.134666666666667
"Plate 4","Fucus 3","3",16,0.0453333333333333,0.140333333333333
"Plate 4","Fucus 3","4",2,-0.00933333333333333,0.163666666666667
"Plate 4","Fucus 3","4",4,0.025,0.171
"Plate 4","Fucus 3","4",6,0.017,0.146666666666667
"Plate 4","Fucus 3","4",8,0.0176666666666667,0.149
"Plate 4","Fucus 3","4",10,0.0223333333333333,0.146
"Plate 4","Fucus 3","4",12,0.0483333333333333,0.146666666666667
"Plate 4","Fucus 3","4",14,0.0446666666666666,0.134666666666667
"Plate 4","Fucus 3","4",16,0.0396666666666667,0.140333333333333
"Plate 4","Fucus 3","5",2,0.0113333333333333,0.163666666666667
"Plate 4","Fucus 3","5",4,NA,0.171
"Plate 4","Fucus 3","5",6,0.0396666666666667,0.146666666666667
"Plate 4","Fucus 3","5",8,0.0466666666666667,0.149
"Plate 4","Fucus 3","5",10,0.065,0.146
"Plate 4","Fucus 3","5",12,0.085,0.146666666666667
"Plate 4","Fucus 3","5",14,0.0923333333333333,0.134666666666667
"Plate 4","Fucus 3","5",16,0.0553333333333333,0.140333333333333
"Plate 4","Fucus 3","6",2,0.00700000000000001,0.163666666666667
"Plate 4","Fucus 3","6",4,NA,0.171
