"plate","true_rep","isolate","time","value","Blank_Replicate"
"Plate 1","Dulse 1","5",8,0.113666666666667,0.101666666666667
"Plate 1","Dulse 1","5",10,0.0953333333333333,0.0903333333333333
"Plate 1","Dulse 1","5",12,0.0686666666666667,0.092
"Plate 1","Dulse 1","5",14,0.102,0.0966666666666667
"Plate 1","Dulse 1","5",16,0.062,0.0916666666666667
"Plate 1","Dulse 1","6",2,0.019,0.101666666666667
"Plate 1","Dulse 1","6",4,0.0573333333333333,0.101333333333333
"Plate 1","Dulse 1","6",6,0.155666666666667,0.102666666666667
"Plate 1","Dulse 1","6",8,0.172,0.101666666666667
"Plate 1","Dulse 1","6",10,0.148,0.0903333333333333
"Plate 1","Dulse 1","6",12,0.101,0.092
"Plate 1","Dulse 1","6",14,0.103333333333333,0.0966666666666667
"Plate 1","Dulse 1","6",16,0.0996666666666667,0.0916666666666667
"Plate 1","Dulse 1","7",2,0.012,0.101666666666667
"Plate 1","Dulse 1","7",4,0.0273333333333333,0.101333333333333
"Plate 1","Dulse 1","7",6,0.0666666666666667,0.102666666666667
"Plate 1","Dulse 1","7",8,0.103333333333333,0.101666666666667
"Plate 1","Dulse 1","7",10,0.106333333333333,0.0903333333333333
"Plate 1","Dulse 1","7",12,0.094,0.092
"Plate 1","Dulse 1","7",14,0.11,0.0966666666666667
"Plate 1","Dulse 1","7",16,0.125666666666667,0.0916666666666667
"Plate 1","Dulse 1","8",2,0.027,0.101666666666667
"Plate 1","Dulse 1","8",4,0.0353333333333333,0.101333333333333
"Plate 1","Dulse 1","8",6,0.066,0.102666666666667
"Plate 1","Dulse 1","8",8,0.083,0.101666666666667
"Plate 1","Dulse 1","8",10,0.124666666666667,0.0903333333333333
"Plate 1","Dulse 1","8",12,0.144666666666667,0.092
"Plate 1","Dulse 1","8",14,0.234,0.0966666666666667
"Plate 1","Dulse 1","8",16,0.264,0.0916666666666667
"Plate 1","Dulse 1","9",2,0.0263333333333333,0.101666666666667
"Plate 1","Dulse 1","9",4,0.04,0.101333333333333
"Plate 1","Dulse 1","9",6,0.0736666666666667,0.102666666666667
"Plate 1","Dulse 1","9",8,0.115333333333333,0.101666666666667
"Plate 1","Dulse 1","9",10,0.133333333333333,0.0903333333333333
"Plate 1","Dulse 1","9",12,0.129,0.092
"Plate 1","Dulse 1","9",14,0.131333333333333,0.0966666666666667
"Plate 1","Dulse 1","9",16,0.121,0.0916666666666667
"Plate 2","Dulse 1","16",2,0.00400000000000002,0.115666666666667
"Plate 2","Dulse 1","16",4,-0.0116666666666667,0.134
"Plate 2","Dulse 1","16",6,0.0203333333333333,0.120333333333333
"Plate 2","Dulse 1","16",8,0.0566666666666667,0.0983333333333333
"Plate 2","Dulse 1","16",10,0.114,0.092
"Plate 2","Dulse 1","16",12,0.134333333333333,0.0876666666666667
"Plate 2","Dulse 1","16",14,0.146666666666667,0.105333333333333
"Plate 2","Dulse 1","16",16,0.156,0.107333333333333
"Plate 2","Dulse 1","17",2,0.00333333333333335,0.115666666666667
"Plate 2","Dulse 1","17",4,-0.011,0.134
"Plate 2","Dulse 1","17",6,0.027,0.120333333333333
"Plate 2","Dulse 1","17",8,0.0683333333333333,0.0983333333333333
"Plate 2","Dulse 1","17",10,0.111,0.092
"Plate 2","Dulse 1","17",12,0.132666666666667,0.0876666666666667
"Plate 2","Dulse 1","17",14,0.129333333333333,0.105333333333333
